SIMPLE_CHEMICAL,frequency
1.0Â±1.1 transfusions,1
P=0.007,5
countriesâ,2
Alginic Acid-Coated Chitosan Nanoparticles Loaded,1
alginic acid-coated chitosan nanoparticles,1
A.C.NPs,9
chitosan nanoparticles,1
C.NPs,1
alginic acid,2
berberine alkaloids,1
BAs,8
broad-spectrum antibacterial,4
berberine,15
coptisine,1
jatrorrhizine,1
palmatine,1
sodium nitroprusside,3
salicylic acid,1
methyl jasmonate (MeJA) treatment,2
"141,111",1
CI 3.3â14.2,1
dual-agonist,2
"bile, saliva",2
nCoV.,2
picomolar,7
peracetic acid-based airborne disinfectants,1
Spearman-KÃ¤rber CPE,1
airborne peracetic acid containing disinfectants were recovered at 60 and,1
ipilimumab,4
â¥,1
"sialic acid (SA)Î±2,6-Gal receptors",1
bioflavone,1
anti-asthma,1
Rosiglitazone,5
rosiglitazone,13
triglyceride,18
ursodeoxycholic acid,1
tacrolimus,15
NIM811,4
E Genes,2
E genes,4
Intrathecal Humoral Immunity to Encephalitic RNA Viruses,1
single-stranded,4
14/204 (6.9%,1
19/409 (3.3%,1
curcumin-loaded polyvinylpyrrolidone nanoparticles,2
CURN,6
curcumin water,1
CURH,4
Chloroquine diphosphate,2
chloroquine diphosphate,2
acyclovir,33
prednisone,15
interferon-based,8
107-SWWSFNPE-114,1
aromatic residue retention,1
2011â2012 Season,2
"1,033/1,983",1
disulfide,8
salt,34
iron-uptake,1
protective/therapeutic vaccines,1
iodide,3
Macugen,1
CI 77.1â98.8,1
JS-2004-02,1
"Cl,",2
"K, Ca, Ti, V,",1
Cr,20
Mn,9
"Fe,",1
Pb,17
Cl,5
IPS,35
Ferroquine,3
SSR97193,1
ellagic acid,8
punicalagin,2
carbon nanotubes,19
nCRT,1
rCRT/18-197,1
rCRT/18-412,1
phytoalexin,2
1/Log(R(0,1
Lactobacillus acidophilus-Induced Interferon Beta Signaling,1
Lactobacillus acidophilus,4
BMS-354825,1
imatinib,18
dasatinib,10
STAT1-targeted,1
hypochlorite/hypochlorous acid,1
HOCl,10
SH-groups,1
aluminosilicate mineral,1
L* and,1
flavanol compounds,1
theaflavins,6
Sodium New Houttuyfonate Alone,1
Oxacillin,1
houttuyfonate,4
houttuynin,2
oxacillin,3
cephalothin,1
vancomycin,22
levofloxacin,22
minocycline,8
netilmicin,3
Âµg/mL,1
FIC,10
16S rRNA,24
oxazolone,1
i.p,24
Fiftyâfive,1
Ethyl Acetate,1
Ethyl acetate,1
EtOAc,2
chloroform extracts,3
MeOH,1
487.40 Î¼g/mL,1
chrysin,6
low-dose baicalein with,1
10-Âµl intranasal,1
100-Âµl intraperitoneal virus,1
mannitol,7
MtlR.,1
Nick,1
anti-microbial,13
interleukin-2,2
29âNovember 2,1
Sections,2
D (,2
intranasal instillation or intravenous injection,1
NN-DNJ,1
BIT225,2
saturated fatty acid-induced,1
albumin-associated lipids,1
CHP,2
HCCL,1
20/219,1
ABT-263,3
ABT-199,1
ABT-737,1
3-deaza-adenosine,1
LFD,13
NA RT-LAMP,1
FOB,9
tree-in-bud infiltrates (36.5,1
Pidotimod,6
pidotimod,8
zymosan (IL-8),1
TNF-Î± Acts,1
"1-(2-pyridyl)-3-(2-hydroxyphenyl)imidazo[1,5-a]pyridine (3a)",1
animal-based foods,4
intra-molecular,2
CPIs,6
S29 proteins,1
S29,1
Palivizumab,7
RBV,29
5-FU,21
microtubule organizing center.,1
Anionic Liposomes,1
anionic liposomes,1
chitosan/DNA,1
CS/DNA,3
nasal mucosal surface,1
Fungus Penicillium marneffei,1
Penicillium marneffei,4
marneffei,6
qde-2(KO,1
clindamycin,26
FL,19
rhamnosus GG mono-association,1
LGG,8
chebulagic acid,2
glycosaminoglycans,10
punicalagin (,1
GAGs,6
FEV1,32
rVpr,3
Lactobacillus rhamnosus CRL1505,1
Lr05,7
Lr06,6
nickel,6
folic acid,5
carboxyfluorescein succinimidyl ester (,1
CFSE,3
Sialic Acid,14
Case-Based,1
4â8,4
fluorescent-tagged antibody or,1
polycytidylic acid,14
18-nucleotide,2
Co-mordidity,1
D-GalN,1
antibody-(mAb-,1
out-of-pocket,8
fatty acids covalently,1
17-octadecynoic acid,1
17-ODYA,1
2-bromopalmitic acid,1
2BP,3
eicosanoid-derived,1
fungus Podospora anserina,1
CD13(KO,2
Matrine,2
quinolizidine alkaloid derived from,1
dexamethasone,56
DEX,18
Azithromycin,16
amnii,3
"1,411,214 decoys",1
2Ã10(11,1
bafilomycin,12
ribose,4
Concanamycin A,1
Wortmannin,2
Plasmid-DNA,1
SNO,1
SNO sites,4
Cholesterol,46
SAON,17
tert-butyl hydroquinone,1
TBHQ,6
rapamycin,47
salubrinal â,1
Ku-0063794,1
rapalogues,1
Fingerprint,3
resazurin,7
CND3514,1
antiemetics,1
ondansetron,1
antidiarrheal agents (racecadotril),1
Lactobacillus rhamnosus GG,3
Lactobacillus reuteri,2
superfine rigid nanoparticles and,1
nanocarriers,1
glargine insulin,1
Lantus,1
dichlorofluorescein,1
DCF,1
apolipoprotein J,1
Sertraline,2
sertraline,3
YPFS,20
Celecoxib,1
Mesalazine,1
Eritoran,1
Manganese,2
Mn),1
manganese can,1
manganese causes,1
N-acetylcysteine,13
Mn interferes with polymerase fidelity,1
manganese.,1
IPA3,1
sodium â¤130,1
technetium tricarbonyl.,1
carbonyl,7
technetium carbonyl radiolabeling of,1
DG SANCO,2
Spironolactone,1
spironolactone,8
F4/80+CD11c+CD206+,1
apamin,2
intrathecal antibody,5
[aHR],2
eudesmanolides,1
sesquiterpenoids,1
sesquiterpene acids,1
flavone glycosides,2
flavonoid C-glycosides,1
isoflavone glycoside,1
sterols,1
oxygenated monoterpenes,1
sesquiterpene hydrocarbons,1
oxygenated sesquiterpenes,1
antihyperlipidemic,1
cineole,1
Cineole,4
Corticosteroid Administration,1
FVFG,4
corticosteroid administration group,1
Droplets,2
amOR,2
ci 1.6,1
1-70,1
CI 1.2-3.4,1
1-4,3
CI 3.0,1
beta-lactam,2
MPR,8
3MA,1
CI 1.4-2.4,1
"3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide",3
Trimellitic Anhydride-Induced Th2,1
trimellitic anhydride- (TMA-)induced contact hypersensitivity (CHS),1
NPM-9,2
dpp4):,1
read-overlap graph,1
Halistanol Sulfate,1
Halistanol Sulfate C,1
n-butanol,6
halistanol sulfate (1),1
halistanol sulfate C (2),1
compounds 1 (SI =,1
compounds 1 and,3
Compounds 1280 Japanese encephalitis virus,1
Compounds,3
cilnidipine,3
NS Segment Expression Exchange of,1
NS segment of type A,1
[regulatory sites in,1
ISIS zoo network,1
ISIS zoos,1
ISIS,1
1â4,2
cyclosporine,25
Cs and,1
Cs binding,1
Amine,1
amine functionalized,1
guar gum,1
mono-ammonium salt,1
Drug-loaded microparticles,1
sodium tripolyphosphate,3
guar gum alkyl amine (,1
"2,4,6-trinitrobenzene sulfonic acid-induced rat colitis",1
malondialdehyde,13
amine derivative of guar gum,1
monoammonium salt,1
3â²-end nucleotide,1
12:844-861,1
WCX,1
2554.6 Da,1
sialic acid receptor determinants,1
2004â2006,1
penta nucleotide frequencies,1
PCC,1
Al,2
Multi-omic network,1
proton,21
carboxyfluorescein,1
protons,16
Imatinib,2
Imatinib Mesylate,1
Imatinib mesylate,2
CBr,3
reactive nitrogen species,2
RNS,4
quercetin-related flavonoids,1
quercitrin,11
isoquercitrin,5
quercetin 3-O-Î²-(2â³-galloyl)-rhamnopyranoside,1
QGR,5
quercetin 3-O-Î²-(2â³-galloyl)-glucopyranoside,1
QGG,6
gallic acid,20
"2,2-diphenyl-1-picrylhydrazyl",4
superoxide,13
peroxynitrite,11
flavonoids QGR,1
25(OH)D,14
[HR],8
aspirin,31
corticosteroid regimen,1
isopropyl Î²-D-1-thiogalactopyranoside,1
potassium,24
terpenoid,1
methyl jasmonate (MeJA),1
flavonol glycosyltransferases,1
lignan glycosyltransferases,1
SRTAW04,3
cation-pi,1
D-glucose,5
CPA,5
Cl),2
Co,1
mycophenolate mofetil,11
AmphoB,3
AmBisome,2
"50,240",2
antifungal,2
antifungal agents,4
nystatin,9
Non-cytotoxic,1
polyphenol,6
AT+AA,1
4.23pfu/mL,1
Zinc Oxide,1
"Zn (2500 ppm, Zn(high)",1
zinc oxide,9
WMD,1
BAI,6
36/206,1
NP-KAg vaccine,1
chloroquine chemoprophylaxis,1
atovaquone/proguanil,1
G4s,24
dipeptide,2
Imino sugar glucosidase inhibitors,1
imino sugars,4
titanium dioxide nanoparticles in,1
psoralens,3
PUVA,3
photosensitizing dyes,1
porphyrins,1
phenothiaziniums,1
antifragile,1
18S rRNA,2
excretions,5
free radical scavenging,1
FcÎ³RIIC-13Gln,1
Nano-ZnO,1
spiro[indoline-pyranodioxine] derivatives,1
"2,2-dimethyl-1,3-dioxane-4,6-dione",1
doi:10.1007/s11033-014-3019-7,1
SARIs,7
carboxymethylaminomethyl,1
cmnm,1
ammonium,11
mnm(5)s(2)U,1
cypoviral positive-stranded,1
mupirocin,5
Ï6,3
bentonite,3
clays,2
2-5A,6
"T223N, R229K",1
208/1564 samples,1
vitamin D.,3
IU/day,2
vitamin D serum,3
citrate synthase,1
coenzyme,1
TCA,21
rAAV-N796 24,1
1 Ã 10(7,1
non-antitumor compounds,1
hIgG/hIgÎ»,2
troglitazone,1
MLD,2
energy-,2
Zn atoms,1
de-,6
Cuprizone,4
CHX,16
quinine,4
artemether,2
artesunate,13
superoxide anions,2
NO and,1
SOCS3-siRNA,1
methacholine,16
wax,3
Fatty Acid,3
cerulenin,1
fatty acid synthase,3
TOFA,3
C75,4
end-product,1
Palmitate,1
etomoxir,3
trimetazidine,1
NP-KAg partially cleared the,1
Fe(2+,2
EDD,2
dP/dt,1
LPS/GalN,2
LDL,19
phorbol-12-myristate-13-acetate (PMA)-stimulated THP-1 cells,1
PMA,17
acetyl LDL.,1
NiV-associated ALI,1
Penicillium,3
[OR 1.11 (1.03 to 1.20)],1
[OR 1.58 (1.28 to 1.96)],1
[OR 1.10,1
[OR 1.25,1
IFNÎ²-1b sc,1
IFNÎ²-1a sc formulations,1
Flexibile fiberoptic bronchoscopic lobar lavage,1
side-chain,9
ribonucleoside 5â²-monophosphates,1
N-dimethylamino)acetamide hydrochloride,1
PJ34,1
lipophilic bis(amide) 3e,1
methoxypyridine 5c,1
High-dose,4
Zn concentrations,1
forskolin-induced chloride,1
prednisone/prednisolone,1
ipratropium bromide),1
corticosteroid responsiveness,1
CSFs,1
peroxidized eicosanoids,1
VRC,8
intragastric gavage of 10,1
20 mg/kg weight,1
Luxol,1
mid-dose glycyrrhizin promoted,1
sc/ip,1
2â3-fold,1
okadaic acid,11
ICA,12
breathcloud,1
[P <,1
high-dose steroid,3
ethanol extracts,2
adenosine monophosphate,7
cAMP,10
isoproterenol was 15.5,1
propranolol,4
isoproterenol,1
Tanshinone IIA,1
glucocorticoid,11
TIIA,6
EXD,1
2â²,3
3â²-cyclic phosphate,2
3â²-cyclic phosphates,1
methionine,3
Arbidol,6
T-705,21
Favipiravir,12
Ribavirin [100 mg/(kgÃd)],1
[150 mg/(kgÃd)],1
T-705 at 1 h,1
[300 mg/(kgÃd)],1
copolymer P3,1
intravenous fluids,8
lactic acidosis,2
bicarbonate infusion,1
nucleic acid extracts,2
rivastigmine,1
galanthamine,6
donepezil,1
tacrine,1
E palmitoylation,2
E protein-containing vesicles,1
E association,1
diplacone,3
1978â1996,1
sialic acid-containing,3
MDGs,2
[Piglets â,1
Natalizumab,2
ADP-ribose derivatives,1
"2,4-dichlorophenoxyacetic acid",1
"2,4-D",2
6-benzylaminopurine,1
BAP,1
conjugated cargoes,1
cell-impermeable compounds,1
CÃ´te dâIvoire,1
intravenous immunoglobulins,11
Vitamin D(3,3
vitamin D(3,5
sodium houttuyfonate,2
octasilver salt,1
pHs,9
salts,8
MBCs,12
PLP(190â209,1
CSEs,1
1971â2010,1
PAMAM,5
dendriplexes,5
N/P,1
metered-dose inhalers,1
pMDIs,3
HFA,1
Tyr/Trp fluorescence,1
plakortide E,2
Plakortide E,1
tannin ellagic acid,1
sulforhodamine B,1
Î¼g/mL,6
Glycyrrhizic Acid,5
18-beta-glycyrrhetic acid,1
non-nucleoside,7
bile and organ samples,1
SB203580,22
HK-PK and,1
2008â2011,3
ammonia chloride,1
FluTrackers,1
pravastatin,6
agarose-agarose,1
2012â2013 Winter,1
ILI/influenza,2
thienopyridines,1
losartan,18
cinanserin,5
lactated Ringerâs,1
Primaxin,2
CLP,6
IFITM3-Dependent,1
polyinosinic-polycytidylic acid [Poly(I:,1
N-based,6
FLU,6
FLU 002,1
FLU 002- NCT01056354,1
FLU 003- NCT01056185,1
formamide,5
n-3 fatty acid desaturase,1
20-carbon n-6 substrates,1
n-6 polyunsaturated fatty acids,1
PUFAs,5
n-3 PUFAs,2
Lipofectamine2000(TM,1
DHA,9
DPA,3
Polycytidylic Acid,1
CI 1Â·37â6Â·22,1
[95%,4
IFN Î³,2
CI=0.96â,1
IFN-Î³ +874 TT,1
Factorless IRES-Dependent,1
1-methyl-4-phenylpyridinium,1
MPP(+))-induced,1
doi:10.1186/1471-2105,2
doi:10.1186/1471-2334-14-424,1
dextran sodium sulphate,1
NCDO 2118,1
9.00-12.00,1
ACV,6
valacyclovir,2
intravenous immunoglobulin (,1
CPMs,3
1990â2012,1
SDPP,3
PEDV-shedding,1
lipotechoic acid,1
doi:10.1186/1471-2334-14-434,1
Kimchi,1
1961â1985,1
evidence/likelihood,1
glycyrrhizic,1
glutamate-enhanced,1
sgmRNA 7,2
FTY720,16
fingolimod,4
WeCoF,1
Nitric oxide,17
sodium/potassium,1
saturated fatty acids C16:0,1
C18:0,1
cholesterol (3.29 g 100 g(â1,1
esters,5
Cu,13
Fe,4
"Zn,",1
"Ni,",1
Glucose,6
carbonyl] benzoic acid,1
ABTS radical,1
expoxy-silanized,1
BOP,1
alcohols,4
1-alkoxy-1H-benzo- (,1
BOP undergoes reactions with,1
peptide-coupling agents can react with alcohols.,1
(31)P{(1)H,1
phosphonium,1
tosylate derivatives of alcohols,1
acyclic nucleoside-like compounds,1
pyrrolidine enamines,1
Pd catalysis,1
inter-chain disulfide bond of,1
IgG1Î»,3
inter-chain disulfide,1
piperacillin,5
tazobactam,3
Piperacillin-tazobactam,1
piperacillin-tazobactam,2
tazobactam pulmonary,1
tazobactam pulmonary penetration ratio,1
Docetaxel,3
DOC,6
Tri-iodothyronine,1
3â²-UTR,5
icariin,14
sodium trimetaphosphateâsodium tripolyphosphate,1
Icariin,4
(ER)-based,2
Hystopaque,1
CLEM,6
SIF network,1
indole alkaloids in I. indigotica,1
aminoglycosides,8
11(5Â·8,1
1Â·37â6Â·24,1
ABG,2
N-glycan Cryptic Antigens,1
NA of,1
substrate-induced,1
Cholesterol-Independent,1
cholesterol synthesis/transport,1
broad-spectrum mediators,1
broad-spectrum influenza,1
nucleotide ATP,1
Nerve-evoked EFS contractions,1
atropine,4
"Î±,Î²-methylene ATP",1
Bethanechol,1
28S,3
Sialic acids,21
NAI,12
Cl-free,1
isoproterenol perfusion (Î0Cl(-) + Iso,1
forskolin/IBMX,1
carbachol,3
histamine,35
thymidine phosphorylase (,1
FRC,1
ultra-low-dose,1
sub-mSv,1
NIC,5
nucleotide triphosphates,2
[OR] 6.03,1
15â44,3
EDTA vacutainers,1
exo-hASCs,2
FcÎ³RI,1
FcÎ³RIII,2
chlorphenamine,4
phenylephrine,6
antihistamine,12
NCT01389518,1
NS protein NS1â²,1
NTD,13
Fungus Pseudogymnoascus destructans,1
fungus Pseudogymnoascus destructans,1
anti-microbial peptide,1
cation-specific,1
Cap,6
PPARÎ±/Î³/Î´,5
antidiabetic agents because,1
Cpd#1,2
Oxygen Species,1
oligomycin-insensitive oxygen consumption,1
adenine nucleotide,4
mito-TEMPO,1
aluminium hydroxide,3
polyriboinosinic acid,1
doi:10.1186/s12879-014-0583-3,1
MP4 strain,1
NH(4)Cl (inhibitor of acidification),1
vinblastine,2
nonhuman/sporadic,1
oxygen â¥28,1
2 ng/kg LPS,1
Guanosine Monophosphate,1
guanosine monophosphate,1
cGMP,15
doi:10.1186/s12916-014-0127-0),1
IMV,21
IMV failure were,1
venovenous ECMO,2
NPPV,6
OFSC,1
immuno-modulators,1
"[1.212, 2.323])",1
Put,2
doi:10.1186/s12865-014-0038-z,1
Zn),2
Zn oxide,1
LH1,1
LH2,1
doi:10.1186/1471-2334-14,2
Instagram,6
HDL3,1
ICLs,2
flap,1
FAN1-DNA,1
PPP,3
XKB,14
fungus Xylaria sp.,1
doi:10.1186/s12879-014-0635-8),1
Oxygen,21
steroids (OR 3.4,1
3â²-non-coding regions,1
Lipid Metabolism Hepatitis C Virus,1
lipoviroparticle,1
meat/poultry/fish,1
todayâs market,1
novel/pre-licensure,1
PED,68
hsa-miR-4474-5p,1
protein-nucleic acid,1
TUViD-VM]),1
TUViD-VM,2
PMO oligonucleotides,1
conjugated cationic cell penetrating peptides,1
"Crown Ethers** Crown ethers are small, cyclic polyethers that",1
protein-crown ether,1
18-crown-6,1
apoproteins,3
"917,798",1
saponin glycoside glycyrrhizin,1
Glycyrrhetinic acid,4
18Î² glycyrrhetinic acid,1
phenolics,12
G isomer,1
doi:10.1186/s12879-014-0690-1,1
doi:10.1186/s13028-014-0091-x,1
APH,3
2011-Jun 2012,1
immunomodulators in the,1
anthraquinones,8
triterpenoids,3
iridoids,7
salidroside,1
chlorogenic acid,21
forsythoside E,1
cryptochlorogenic acid,3
amygdalin,1
sweroside,1
hyperin,1
rutin,21
forsythoside A,1
phillyrin,1
rhein,6
LOQ,2
aluminum salts,4
colloids,2
polyelectrolyte,1
aluminum-based formulations,1
A779,17
NFâÎºB,1
ion-exchange,12
VRC 206,1
bactericidal agents against,1
doi:10.1186/s12879-014-0721-y,1
[PI]:,2
Nelfinavir,5
NFV,8
ribosomal frame-shifts,1
Acetone Extract,1
cottonseed oil,1
Gossypol,2
acetone,17
dSTORM,3
CI 1.15-1.41,1
5-azacytidine,5
[n=166 (67.2%,1
74.8Â±4.8,1
8.4Â±4.4 vs,1
doi:10.1186/s13054-015-0764-5,1
Anti-VEGF,3
zanamivir (2Â·5,1
0Â·25,1
non-nucleic acid,2
Maleic Anhydride-Modified Human,1
maleic anhydride (ML)-modified,1
Flavone,1
VAF,1
F17,1
40S subunits,1
40S,2
48S,6
ADP,6
FCR,2
FCR of,1
doi:10.1186/s12917-015-0372-2,1
sulfated glycans,2
hostâs blood,1
FMP,1
PPIs,32
nasal Nitric Oxide,1
FL constituents,1
neohesperidin,1
liquiritigenin,1
isorhamnetin,4
isoliquiritigenin,4
doi:10.1186/s12879-015-0863-6,1
L1371I,1
sublingually,1
2.0â4.4,1
MG132,56
QAC,5
QAC surfactant,1
21â120,1
fluorescent dyes,3
FM178558,1
doi:10.1186/s13063-015-0645-x,1
BX795,2
EDC,4
âopen,1
ESWL,1
vermicides,1
p<0.000001,1
NCT00435110,1
bile ducts,3
gluten,1
CPS-CQ,1
mefloquine,8
MQ,2
doi:10.1186/s12936-015-0626-2,1
PPAA,1
paeonol,2
20 Î¼g/mL PGG,1
Organic Carbamates in,1
carbamate,1
prodrugs,10
carbamate moiety,1
carbamates,2
pigment biopolymers,1
cis-,4
land-remediation,1
Cationic nanoparticles directly,1
cationic polyamidoamine dendrimer,1
anionic PAMAM nanoparticles,1
cationic nanoparticles can,1
lactic acid dehydrogenase-,1
lactate,15
NADH,5
doi:10.1186/s12879-015-0896-x,1
septicemium,1
L segment gene,1
aristolochic acids,2
NCT00973895,1
PIP,7
monophosphate species,1
islandâs,1
FFN,8
Astragalin,2
astragalin,7
kaempferol-3-O-glucoside,2
1â20 Î¼M.,1
spermidine,3
PD173074,1
ISF,1
doi:10.1186/s12917-015-0354-4,1
broad-spectrum lead compound,1
16R,7
1 log(10,1
adenosine diphosphate ribose,2
3-AB,1
doi:10.1186/s12889-015-1750-1,1
hsa-miR-6743-5p,1
H7N9-M2e peptide,1
PG,8
D3-11,1
N/C,3
doi:10.1186/s12879-015-0938-4,1
low-molecular-weight hydrophobic,1
FGL-2,1
Treg-immune-suppression-assays,1
FGL2-regulation,1
doi:10.1186/s13054-015-0852-6,1
donorâs,4
doi:10.1186/s12889-015-1811-5,1
ethics-sensitive,1
Dieckol,5
Interferon-Î³ Stimulated HaCaT Human Keratinocytes Macrophage-derived chemokine,1
dieckol,3
[4.0â17.1],1
teamsâ,1
Omeprazole,1
Esomeprazole,1
CDC influenza-like illness (ILI),1
inorganic nanomaterials,1
silver nanoparticles,5
Micrococcus luteus,1
1(Ã)-O-galloyl pedunculagin,1
quercetin-3-O-glucuronide,1
nickel compound,1
acetohydroxamate,1
orotic acid,1
"3-amino-1,2,4-triazole could slightly",1
galangin,5
dihydromyricetin,7
myricitrin,5
SB225002,1
27/687,1
broad-spectrum antiviral agents,12
ultrapurified,1
Gentamicin,3
P=0.080,1
incretin hormones,2
Phosphatidic Acid,1
phosphatidylcholine-,1
phosphatidic acid,1
oxidants,2
prostaglandin E(2,8
Ion,23
interferon-free,2
boceprevir,2
telaprevir,2
NB-DNJ,8
Epigallocatechin gallate,1
nobiletin,1
DRAG mice,3
ALA,9
antiamoeba cellular,1
sialic acids type I lactosamine,1
salvianolic acid B,2
hydroxysafflor yellow A,1
syringin,1
Lineweaver-Burk,2
SaB,3
warfarin,1
multivitamin,1
omega-3,1
glucosamine,14
vitamin,16
omega-3 fatty acids,1
G clusters,1
heparan sulfate,22
doi:10.1186/s13756-015-0061-8),1
from19,1
Zanamivir,2
aptamer-recognized,2
FeL,10
allopurinol,6
Meglumine antimoniate,1
dual-labeled,3
brefeldin-A,4
P276,3
Sodium Suppresses Digestive Efficiency via,1
fats,4
Low Systemic IFN-Î³,1
Anti-D immunoglobulin,1
silymarin,3
acetyl CoA carboxylase,1
Fatty acid synthase,1
carnitine palmitoyl transferase 1,1
arachidonic acid (AA),3
Fluocinolone Acetonide Intravitreal Implant for,1
fluocinolone acetonide,1
FA,37
Bausch,1
2.1-mg FA intravitreal implant in patients with,1
2.1-mg FA implant surgically,1
0.59-mg,2
2.1-mg implant),2
FA intravitreal implant significantly,1
5/2,1
vitamin D-,1
hydroxychloroquine,58
antimalarial quinolines are,1
quinoline-based,1
Chelex-100,1
doi:10.1186/s12889-015-1910-3,1
Enterococci,1
Firmicutes,1
doi:10.1186/s12917-015-0419-4,1
oxygen species,4
MPT,3
doi:10.1186/s12879-015-0987-8),1
Statins,8
2â²-5â²-linked oligoadenylate polyribonucleotides (2-5As,1
dNTPs,3
nshomron@post.tau.ac.il Supplementary,1
Berenil,1
serine-borate,1
IABP,10
BNO 1016,4
water buffalo,1
LeTx,6
doi:10.1186/s13054-015-0983-9,1
CRL1005 poloxamer,1
benzalkonium chloride,9
phosphonate nucleotide analogues,1
"diethyl 2-(4,5-dimethoxycarbonyl-1H-1,2,3-triazol-1-yl)alkylphosphonates",1
dimethyl acetylenedicarboxylate,1
dihydrazides,1
"phosphonate analogues of acyclic nucleosides having nucleobases replaced with substituted 1,2,3-triazoles.",1
